isotype,phi_S_n,phi_A_n,phi_R_n
other,0.02688710419255349,0.16278609890879728,0.475266180466665
other,0.17243105827267155,0.04388810642886791,0.4007214822921206
other,0.1750819579067749,0.07502568358755965,0.2785397872661734
other,0.017924736128368993,0.19391314685253516,0.5786020091947076
other,0.03850037189084134,0.23777493472362723,0.34022672125814435
other,0.13658158601593356,0.08777357956135062,0.37538237404962005
other,0.13658158601593356,0.08777357956135062,0.2848340444686276
other,0.017924736128368993,0.19391314685253516,0.5215021659111689
other,0.03850037189084134,0.23777493472362723,0.29685038602827907
other,0.44458456114266415,0.012749212613976702,0.48163435586582387
other,0.0595808422342509,0.11890852374394999,0.21738021346531952
other,0.05326937380416975,0.23777493472362723,0.14301995683932717
other,0.16611958984259037,0.08777357956135062,0.2551225084876816
other,0.008962368064184496,0.23777493472362723,0.6301557528816987
other,0.0775055783626199,0.08777357956135062,0.558684297969678
other,0.008962368064184496,0.23777493472362723,0.5434726021119044
other,0.050618474170066395,0.13863931107322508,0.37255875283617196
other,0.07119410993253875,0.16278609890879728,0.21147200868894495
other,0.08066131257766046,0.06362205315268774,0.5742765132783771
other,0.13077495216678964,0.07502568358755965,0.3893104614874672
other,0.13973732023097413,0.06362205315268774,0.4923551987397094
other,0.1719262236917343,0.10222555180886596,0.19771244890539014
other,0.050618474170066395,0.13863931107322508,0.31406477926326193
