lineage,v_gene,donor,lambda_S,lambda_R,r2,n_edges
color_pulp_budget_ask_figure_sorry_comfort_boil,IGHV3-13,09,0.031598006326678446,0.0,0.004384555892596453,8
column_expect_bunker_relax_fork_flat_slow_slide,IGHV3-30,08,0.0,0.42610593017983994,0.07213262590279379,4
column_include_warfare_traffic_work_couch_echo_enhance,IGHV3-74,09,0.17887104028640313,0.0,0.17080028610290487,5
column_post_police_bean_print_six_bench_live,IGHV3-23,01,0.2026509935721759,0.0,0.304641380288205,4
combine_gadget_inmate_honey_machine_cry_keep_bunker,IGHV5-51,07,0.19209427877689386,1.5999755166541472,0.1707122746043811,8
come_nasty_gun_broom_boss_grain_today_black,IGHV7-4-1,02,0.08534367958215898,0.0,0.03537592931617106,4
comic_chat_gasp_sound_dinosaur_guess_cement_cruise,IGHV4-39,10,0.12349405356999316,0.0,-0.1066199855399117,4
comic_edge_middle_real_token_wing_achieve_same,IGHV1-8,07,0.0,0.0,-0.0004731236877166811,4
company_because_size_double_cruise_loud_hurdle_elite,IGHV4-59,02,0.0,0.0,-0.673578383898515,6
concert_cricket_decline_negative_ostrich_matrix_fitness_utility,IGHV4-39,10,0.0,0.0,-0.0020119030825846984,5
confirm_drastic_chalk_steel_game_explain_index_behave,IGHV3-74,11,0.0,0.0,-0.06718905360568961,4
confirm_pelican_family_panda_helmet_harbor_harbor_crack,IGHV3-23,02,0.0,20.089944174430237,0.5559274515202176,4
congress_net_fetch_extend_alert_intact_remove_curve,IGHV3-74,02,0.04831652337194811,3.1415109258282525,0.3062195448091468,4
convince_service_slim_tumble_ripple_erase_door_board,IGHV2-5,05,0.10492547950652338,0.0,0.22568945438415822,7
cook_entry_goose_pig_carbon_thank_bicycle_chat,IGHV3-33,04,0.0228546183814876,0.0,-0.4698504275703155,4
cool_brown_vocal_excuse_dish_thrive_huge_planet,IGHV3-9,02,0.19494073464603523,0.8783634531549561,0.23705389838335544,7
copper_club_large_ten_nurse_scissors_crazy_casino,IGHV5-51,11,0.061379654273539835,0.0,0.09159112808640024,4
copper_excite_cruise_steel_point_inspire_solid_stick,IGHV3-74,03,0.07146007086060172,0.2536053254416204,0.13091385662206767,6
copy_mansion_lonely_echo_anxiety_curious_simple_castle,IGHV3-23,07,0.0,0.0,-0.10305039868250665,19
coral_luggage_remind_west_fancy_gallery_grit_beach,IGHV3-23,05,0.0,0.0,-0.000023396339821957213,4
corn_sketch_vibrant_anchor_ladder_supply_figure_render,IGHV3-21,05,0.0,3.298296162567324,0.16302339651940467,16
cotton_dirt_dry_dragon_identify_tennis_absent_turtle,IGHV3-72,05,0.0,0.0,0.0,4
